Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
31300	-5695.659149717559	-5680.592938253926	-15.066211463632825	0.5882156690863672	6.442306774202435	0.007943059964011283
31350	-5697.769721207823	-5680.116654657124	-17.65306655069901	0.48519588790949336	7.446123811332449	0.007943059964011283
31400	-5698.70234615614	-5680.787312613116	-17.915033543024066	0.392494809356146	7.604058317104938	0.00711853595686814
31450	-5697.978103722443	-5680.013926584437	-17.964177138005866	0.5114489452580618	7.537122782687596	0.00711853595686814
31500	-5701.404992497114	-5682.263997755448	-19.140994741666216	0.45971436627397355	7.94281544397692	0.006843190137912599
31550	-5701.824948811703	-5685.168321984917	-16.6566268267854	0.40467351712216965	7.223911108468867	0.006297778652472687
31600	-5700.575566414816	-5684.410637176754	-16.164929238062616	0.40467351712216965	7.021686851067557	0.006297778652472687
31650	-5701.673348773101	-5684.1392879840605	-17.534060789039817	0.4940782169471256	7.46336409793601	0.006297778652472687
31700	-5700.83122868503	-5685.008016176852	-15.823212508178123	0.4808875126285703	6.862806969567976	0.006621059136046757
31750	-5700.867720228209	-5684.112482750883	-16.75523747732607	0.7376499286639393	6.670560882664528	0.006889897478547604
31800	-5699.691455588613	-5683.450153855645	-16.24130173296811	0.3800476985922923	6.961724159950438	0.006889897478547604
31850	-5699.721959885061	-5684.8991699885455	-14.822789896515438	0.5223860600725823	6.469252390415093	0.006658368778077564
31900	-5699.630527946427	-5684.631014352428	-14.999513593999213	0.4053834429425717	6.471849880814724	0.006981132433864882
31950	-5699.760294871263	-5684.642044296945	-15.118250574317702	0.4453584200223933	6.583681934181348	0.006981132433864882
32000	-5698.391227632822	-5682.477822041631	-15.913405591190482	0.5101665121979256	6.842989854980824	0.007445584499528009
32050	-5697.983087527157	-5682.2176513913655	-15.765436135791706	0.5998135122907152	6.640328715922076	0.008308324062109221
32100	-5698.920528610217	-5682.656925535825	-16.263603074391895	0.42609576458591	6.97356052609062	0.008308324062109221
32150	-5696.510731349566	-5681.332432089182	-15.178299260384513	0.42518929028810953	6.491618040574107	0.009172262340213747
32200	-5701.073989239403	-5683.057450535003	-18.01653870439989	0.8803424499133136	6.598978429066943	0.009305087864443435
32250	-5696.515782893682	-5681.899543769105	-14.616239124577152	0.6901116898396525	5.940305120788236	0.009896417360686513
32300	-5698.740113182857	-5684.83577379774	-13.904339385117275	0.4580726854475833	5.675522610017497	0.009577977755234918
32350	-5698.395405055725	-5684.6235881918565	-13.771816863868558	0.5571538216197595	5.675522610017497	0.010085464796190317
32400	-5698.473811169005	-5684.044708140041	-14.429103028964418	0.39339923585573305	5.811389572051916	0.009906703588167719
32450	-5700.379977485312	-5686.2356954150255	-14.14428207028708	0.6501433707044626	5.781935631678114	0.009906703588167719
32500	-5703.079236122849	-5687.280774574203	-15.79846154864537	1.002083644271854	5.559794961506595	0.009488227123505145
32550	-5700.4876744964695	-5684.644666785107	-15.843007711362452	0.5979770779318075	6.644566938136752	0.009866316523293351
32600	-5698.519232389192	-5683.318141134316	-15.201091254877126	0.5979770779318075	6.4426861462616465	0.009866316523293351
32650	-5695.76530888778	-5681.467114922707	-14.298193965072382	0.641840035145753	5.976827556608856	0.009540322985312648
32700	-5696.211761683042	-5682.233919824986	-13.97784185805644	0.4898893783180088	5.792141100448916	0.009540322985312648
32750	-5698.349862407559	-5682.721117027583	-15.628745379975832	0.35575575226659834	6.729827702067604	0.009503967619704227
32800	-5698.607889325431	-5683.020230973839	-15.587658351592209	0.294170304859483	5.482359741634936	0.010450809409224071
32850	-5696.394963517876	-5682.882705020034	-13.512258497841433	0.6490567001244789	5.251361885012955	0.010450809409224071
32900	-5695.788845698104	-5682.127647306061	-13.661198392043293	0.5541417020116984	5.933088715189413	0.010450809409224071
32950	-5695.834282400179	-5682.278511488003	-13.555770912177096	0.46553033460090687	5.3885306987025645	0.011955135103788275
33000	-5697.078558353433	-5683.684538133235	-13.394020220198852	0.46552912486505615	5.3885306987025645	0.009815080652328993
33050	-5697.44747394638	-5681.888077121512	-15.55939682486822	0.2830542551697116	5.461687112053785	0.009934304389074555
33100	-5698.372010532069	-5682.620369409538	-15.75164112253034	0.8981840627860214	6.0608875947282055	0.009711308187079758
33150	-5694.270875238466	-5680.106771428544	-14.164103809922178	0.7645888332146069	5.799098472677655	0.01026215611838105
33200	-5697.379437241058	-5681.833800979613	-15.54563626144531	0.6064057384432123	6.698356737861639	0.009867205250136235
33250	-5696.6550837318555	-5681.621890688404	-15.033193043450874	0.5341575432203209	6.643651686847509	0.008753757119767195
33300	-5700.355821976194	-5683.324171853787	-17.031650122407214	0.48674200856557753	7.385847953131492	0.008440364778873577
33350	-5697.659935020254	-5682.035277017484	-15.624658002770346	0.6013300673108682	6.771897388146089	0.00896685133426339
33400	-5700.283543278537	-5683.414651274913	-16.868892003623635	0.7656785501700466	6.771897388146089	0.009957890272344293
33450	-5699.594884083263	-5682.2405491588925	-17.354334924370967	0.7656785501700466	7.003693224258703	0.007461581750814829
33500	-5698.390149749457	-5682.480161998701	-15.909987750755667	0.7931049008542194	6.510767578530991	0.007560017161148742
33550	-5699.1826354229715	-5682.773922545167	-16.40871287780451	0.40845036549131997	7.280583057893489	0.006246219725515636
33600	-5698.237092162425	-5681.775952528818	-16.4611396336072	0.3223117538786526	7.095498039985806	0.006451555715686504
33650	-5698.261772702516	-5682.553576726024	-15.708195976491751	0.5780498434656846	6.9517122383962695	0.006462331978190905
33700	-5704.448725471783	-5687.004391171592	-17.444334300191638	0.22103511453127028	6.687647903943052	0.006363620623073948
33750	-5699.226670087386	-5683.314046879974	-15.912623207412313	0.6735784376646163	6.886335489367548	0.006903596835359259
33800	-5696.489047441167	-5681.593655534141	-14.8953919070252	0.3293116742729085	6.196669167005125	0.008294725565160177
33850	-5698.091916947264	-5681.677965188216	-16.413951759047333	0.6160283954170737	7.124941296226821	0.008109483227639732
33900	-5697.841926389175	-5681.834286384573	-16.00764000460194	0.4979180604618375	7.124941296226821	0.008185450223894565
33950	-5700.965616439238	-5683.471131188288	-17.494485250949456	0.7712949959421694	7.124941296226821	0.00705656665557734
34000	-5698.152804478996	-5683.133312041387	-15.019492437608069	0.4226272903696834	6.6975233466231305	0.008453407435523936
34050	-5696.472561250586	-5681.109275535189	-15.363285715396977	0.6822542567484831	6.542988610553457	0.008886664446719341
34100	-5697.905873622845	-5682.983688802619	-14.922184820225713	0.68654816031408	6.257518480400065	0.00878249605589763
34150	-5695.852003246486	-5681.902553920547	-13.949449325938698	0.47607939691139173	6.042267530003924	0.007788723845664087
34200	-5699.650413569775	-5682.649288080337	-17.001125489438174	0.5784626971953422	7.36947404620016	0.006604693238173781
34250	-5697.107683145563	-5683.628977483485	-13.478705662077914	0.7966491214259594	5.538579463195059	0.008506770345595226
34300	-5695.854353803638	-5683.079102386666	-12.775251416972134	0.6046739318241892	5.247024462125553	0.008506770345595226
34350	-5699.771800995284	-5686.123117883172	-13.64868311211207	0.9541326009631292	5.0546879958216575	0.008282057548459447
34400	-5694.8685194607715	-5680.93493644642	-13.933583014351488	0.556121899433342	6.172485334356414	0.00901098665534111
34450	-5695.806582720297	-5680.093498419918	-15.713084300378897	0.3690567908817362	6.823753930244883	0.008502290101543998
34500	-5695.887496784324	-5679.155080095168	-16.732416689155894	0.6028443994883289	7.206328305350858	0.00737467882323805
34550	-5698.136340162167	-5679.3008812224125	-18.835458939753938	0.4455006436792082	8.032489149533555	0.006917789510266129
34600	-5697.76277085673	-5679.927417420769	-17.835353435960144	0.485076108588691	7.737183638438885	0.006397207809783609
